CVE_PRESUPUESTAL,DOM_CALLE,REF_TELEFONO,REF_CP,REF_COLONIA_FRACC,CVE_NIVEL_ATENCION,CVE_CLUES,REF_UNIDAD_MEDICA,CVE_LOCALIZACION,CVE_TIPO_INMUEBLE,CVE_SERVICIO,CVE_UNIDAD_PRESUP,IND_MF,CVE_DELEGACION,CVE_PREI,CVE_NUMERO_ECONOMICO,CVE_LOCALIDAD,CVE_MUNICIPIO,CVE_ESTADO,REF_FRANJA_HORARIA,FEC_BAJA,IND_HORARIO_VERANO,CVE_PAIS,REF_ESTADO_REG,DES_USER_CREA_REG,STP_CREA_REG,DES_USER_MODIFICA_REG,STP_MODIFICA_REG,fh_proceso
10302252110,AVE. REVOLUCI�N ESQUINA H. COLEGIO MILITAR COL. CENTRO C.P. 20660 PABELL�N DE ARTEAGA AGUASCALIENTES,"",20660,"",1,ASIMS000115,UMF 3 PABELL�N ARTEAGA,3,2,25,2110,1,1,12407,0,1,6,1,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944529
10901252110,NICOLAS BRAVO NO. 1 COL. INFONAVIT C.P. 20715 ASIENTOS AGUASCALIENTES,"",20715,"",1,ASIMS000086,UMF 5 ASIENTOS,9,1,25,2110,1,1,12408,0,1,2,1,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944535
12002252110,BLV. MIGUEL DE LA MADRID S/N FRACC. AGUA CLARA C.P. 20010 JES�S MAR�A AGUASCALIENTES,"",20010,"",1,ASIMS000103,UMF 6 JES�S MAR�A,20,2,25,2110,1,1,12409,0,1,5,1,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944541
12202252110,RODOLFO LANDEROS GALLEGOS NO. 320 COL. BUGAMBILIAS C.P. 20800 CALVILLO AGUASCALIENTES,"",20800,"",1,ASIMS000091,UMF 4 CALVILLO,22,2,25,2110,1,1,12410,0,1,3,1,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944546
10158252110,"","","","",1,ASIMS000144,UMF 11 AGUASCALIENTES,1,58,25,2110,1,1,12411,0,1,1,1,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944552
10160252110,Avenida  Valle de los Romeros  No. 1603  Fraccionamiento Villa de Nuestra Señora de la Asunción C.P 20126  Aguascalientes  Municipio de Aguascalientes  Estado de Aguascalientes,"",20126,Fracc. Villa de Nuestra Señora de la Asunción,1,ASIMS000173,UMF 12 Aguascalientes,1,60,25,2110,1,1,12412,"",1,1,1,"","",0,133,A,CSI_Beta - CI,17:45.0,CSI_Beta - CI,17:45.0,2021-01-04 21:35:08.944558
20101012151,AV. LERDO Y CALLE F COL. NUEVA C.P. 21100 MEXICALI BAJA CALIFORNIA NORTE,"",21100,"",2,BCIMS000122,HGZ 30 MEXICALI,1,1,1,2151,0,2,20101,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944564
20401052151,AV. CHIHUAHUA Y BENJAM�N GIL S/N COL. RUIZ CORTINEZ C.P. 83439 SAN LUIS R�O COLORADO SON,"",83439,"",2,BCIMS000064,HGSMF 12 SAN LUIS RIO COLORADO,4,1,5,2151,1,2,20402,0,124,1,2,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 21:35:08.944570
20201052151,CALLE PRIMERA No. 500-B COL. MACLOVIO HERRERA,"",21440,"",2,BCIMS000443,HGSMF 6 TECATE,2,1,5,2151,1,2,20701,0,1,3,2,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 21:35:08.944576
20705202110,AV. JU�REZ Y JALISCO S/N EJIDO HERMOSILLO C.P. 21834 MEXICALI BAJA CALIFORNIA NORTE,"",21834,"",1,BCIMS000204,UMFH 15 E. HERMOSILLO,7,5,20,2110,1,2,22201,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944582
20806202110,AV. MORELOS Y H. GALEANA S/N POB. CD.MORELOS C.P. 21960 MEXICALI BAJA CALIFORNIA NORTE,"",21960,"",1,BCIMS000180,UMFH 3 C. MORELOS,8,6,20,2110,1,2,22202,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944587
20907202110,AV. VICENTE GUERRERO S/N POBLADO LIC.BENITO JU�REZ C.P. 21900 MEXICALI BAJA CALIFORNIA NORTE,"",21900,"",1,BCIMS000175,UMFH 2 BENITO J�AREZ,9,7,20,2110,1,2,22203,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944593
21008202110,CONFLUENCIA DE CARRETERAS INTER- ESTATALES A EJ. PUEBLA EJIDO NUEVO LE�N C.P. 21705 MEXICALI BAJA CALIFORNIA NORTE,"",20705,"",1,BCIMS000192,UMFH 5 E. NUEVO LE�N,10,8,20,2110,1,2,22204,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944599
21109202110,AV. ALLENDE S/N. FRENTE A ESCUELA PRIMARIA EJIDO DURANGO C.P. 21735 MEXICALI BAJA CALIFORNIA NORTE,"",21735,"",1,BCIMS000233,UMFH 4 E. DURANGO,11,9,20,2110,1,2,22205,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944605
21210202110,AV.INSURGENTES Y CALLE S�PTIMA S/N POB. GUADALUPE VICTORIA C.P. 21720 MEXICALI BAJA CALIFORNIA NORTE,"",21720,"",1,BCIMS000216,UMFH 10 GUADALUPE VICTORIA,12,10,20,2110,1,2,22206,0,185,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944610
21602202110,AV. JU�REZ Y KINO S/N C.P. 83500 POB. LUIS B.SANCHEZ SON,"",83500,"",1,SRIMS000804,UMFH 9 LUIS B. S�NCHEZ,16,2,20,2110,1,2,22207,0,17,55,26,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944616
22601202110,AV. MAR DE CORT�S Y CALLE ENSENADA S/N ZONA CENTRO C.P. 21850 SAN FELIPE BAJA CALIFORNIA NORTE,"",21850,"",1,BCIMS000221,UMFH 24 SAN FELIPE,26,1,20,2110,1,2,22209,0,284,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944622
20105252110,CALLE R�O LORETO Y PODER LEGISLATIVO S/N COL. L�ZARO C�RDENAS C.P. 21370 MEXICALI BAJA CALIFORNIA NORTE,"",21370,"",1,BCIMS000146,UMF 26 MEXICALI,1,5,25,2110,1,2,22401,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944628
20128252110,PROLONGACI�N CALLE 4TA.S/N Y CALLE PALMAR DE SANTA ANITA FRACC. PALMAR DE SANTA ANITA C.P. 21259 MEXICALI BAJA CALIFORNIA NORTE,"",21259,"",1,BCIMS000163,UMF 37 PALMAR,1,28,25,2110,1,2,22404,0,1,2,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944634
20508252110,BLVD. GUSTAVO D�AZ ORDAZ S/N KM. 11.5 CARRET. ATNTIGUA A TECATE COL. LA MESA C.P. 22650 TIJUANA BAJA CALIFORNIA NORTE,"",22650,"",1,BCIMS000286,UMF 27 TIJUANA,5,8,25,2110,1,2,22407,0,1,4,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944640
20509252110,CALLE QUINTA #1111 CRUCE CON EMILIANO ZAPATA ZONA CENTRO C.P. 22200 TIJUANA BAJA CALIFORNIA NORTE,"",22200,"",1,BCIMS000274,UMF 19 TIJUANA,5,9,25,2110,1,2,22408,0,1,4,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944645
020518UA2110,Avenida Tecnológico y Lázaro Cárdenas No. 15100  Colonia Mesa de Otay C.P 22430  Tijuana  Municipio de Tijuana  Estado de Baja California,"",22430,Colonia Mesa de Otay,2,BCIMS000320,UMAA 36 Mesa de Otay,2,18,UA,2110,0,2,22409,"",1,4,2,"","",0,133,A,CSI_Beta - CI,17:45.0,CSI_Beta - CI,17:45.0,2021-01-04 21:35:08.944651
20518252110,AV. TECNOLOGICOS Y L�ZARO C�RDENAS NO. 15100 . MESA DE OTAY C.P.22320 TIJUANA BAJA CALIFORNIA NORTE,"",22320,"",1,BCIMS000320,UMF 36 MESA DE OTAY,5,18,25,2110,1,2,22409,0,1,4,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944657
20524092151,AV. TECNOL�GICO Y CARR. MESA DE OTAY C.P. TIJUANA BAJA CALIFORNIA NORTE -ANEXA UMF36-,"",22320,"",2,BCIMS000390,UMAA 36 MESA OTAY (AUT),5,24,9,2151,0,2,22409,0,1,4,2,"",14/07/2020,0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,35:43.5,2021-01-04 21:35:08.944663
20519252110,AV. PADRE KINO NO. 750 COL. FRACCIONAMIENTO SOLER C.P. 22105 TIJUANA BAJA CALIFORNIA NORTE,"",22105,"",1,BCIMS000291,UMF 33 TIJUANA,5,19,25,2110,1,2,22410,0,1,4,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944668
20521252110,AV. PRINCIPAL Y UMBELA NO. 24512 FRACC. EL FLORIDO 1RA. SECC. C.P. 22680 TIJUANA BAJA CALIFORNIA NORTE,"",22680,"",1,BCIMS000303,UMF 34 EL FLORIDO,5,21,25,2110,1,2,22411,0,1,4,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944675
20529252110,PASEO DE LOS LOBOS NO. 6203 COL. LOS LOBOS C.P. TIJUANA BAJA CALIFORNIA NORTE,"",22534,"",1,BCIMS000315,UMF 35 LOS LOBOS,5,29,25,2110,1,2,22412,0,1,4,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944680
21302252110,VICENTE GUERRERO S/N Y CARRETERA TRANSPENINSULAR COL. EL SAUZAL C.P. 22760 ENSENADA BAJA CALIFORNIA NORTE,"",22760,"",1,BCIMS000093,UMF 11 EL SAUZAL,13,2,25,2110,1,2,22413,0,247,1,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944686
21401252110,DOMICILIO CONOCIDO CARRETERA TRANSPENINSULAR ROSARIO COL. EL ROSARIO DE ARRIBA C.P. 22960 ENSENADA BAJA CALIFORNIA NORTE,"",22960,"",1,BCIMS000076,UMF 29 ROSARIO,14,1,25,2110,1,2,22414,0,198,1,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944692
21506252110,CALLE EMILIANO ZAPATA ESQ. C/JUANITA SIQUEIROS S/N EJIDO EL PORVENIR C.P. 22750 ENSENADA BAJA CALIFORNIA NORTE,"",22750,"",1,BCIMS000105,UMF 14 VALLE GUADALUPE,15,6,25,2110,1,2,22415,0,617,1,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944698
21702252110,CALLE ACACIAS Y MAR DEL NORTE #19 ZONA CENTRO C.P. 22710 TIJUANA BAJA CALIFORNIA NORTE,"",22710,"",1,BCIMS000344,UMF 17 ROSARITO,17,2,25,2110,1,2,22416,0,1,5,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944703
22501252110,DOMICILIO CONOCIDO SAN VICENTE B.C. COL. SAN VICENTE C.P. 22900 ENSENADA BAJA CALIFORNIA NORTE,"",22900,"",1,BCIMS000081,UMF 22 SAN VICENTE,25,1,25,2110,1,2,22417,0,243,1,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944709
20414252110,AV. TUXPAN Y CALLE 44 S/N COL. SOLIDARIDAD C.P.83496 SAN LUIS R.C. SON.,"",83496,"",1,SRIMS000816,UMF 38 S. LUIS RIO COLORADO,4,14,25,2110,1,2,22418,0,1,55,26,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944715
20203252110,AV. PRIMERA NO.500 COL. MACLOVIO HERRERA C.P. 21480 TECATE BAJA CALIFORNIA,"",21480,"",1,BCIMS000385,UMF 39 TECATE,2,3,25,2110,1,2,22420,0,1,3,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944721
20573252110,CIRCUITO DE LOS CARLOS CALLE RENE LOTE 60 MANZANA 940 COL. FRACC. EL LAUREL,"",22206,"",1,BCIMS000402,UMF 18 TIJUANA,5,73,25,2110,1,2,22422,0,1,4,2,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944727
20580302151,Calle Paseo del Río  No. 16801  Colonia Río Tijuana 3ra Etapa C.P 22226  Tijuana  Municipio de Tijuana  Estado de Baja California,"",22226,Colonia Río Tijuana 3ra Etapa,0,BCIMS000455,UDDX CAMA Tijuana,2,80,30,2151,0,2,23701,"",1,4,2,"","",0,133,A,CSI_Beta - CI,17:45.0,CSI_Beta - CI,17:45.0,2021-01-04 21:35:08.944732
31102052151,PUNTA MORRO REDONDO S/N C.P. 22990 ISLA DE CEDROS BAJA CALIFORNIA SUR,"",22990,"",2,BSIMS000212,HGSMF 13 ISLA DE CEDROS,11,2,5,2151,1,3,30404,0,1572,2,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944738
30201252110,AV. COLEGIO MILITAR Y MUNICIPIO LIBRE S/N COL. CENTRO C.P. 23920 SANTA ROSAL�A BAJA CALIFORNIA SUR,"",23920,"",1,BSIMS000055,UMF 8 SANTA  ROSALIA,2,1,25,2110,1,3,32402,0,1,2,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944744
30401252110,CALLE PUERTO LA PAZ Y M�XICO COL. CENTRO C.P. 23740 PUERTO SAN CARLOS BAJA CALIFORNIA SUR,"",23740,"",1,BSIMS000043,UMF 4 SAN CARLOS CARLOS,4,1,25,2110,1,3,32403,0,280,1,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944750
30501252110,AV. ALLENDE Y L�PEZ MATEOS COL. CENTRO C.P. 23700 CD. INSURGENTES BAJA CALIFORNIA SUR,"",23700,"",1,BSIMS000031,UMF 3 VILLA INSURGENTES,5,1,25,2110,1,3,32404,0,133,1,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944756
30709252110,SERGIO NOYOLA Y LUIS DONALDO COLOSIO COL. LOMA BONITA C.P. 23940 GUERRERO NEGRO BAJA CALIFORNIA SUR,"",23940,"",1,BSIMS000084,UMF 35 GUERRERO NEGRO,7,9,25,2110,1,3,32405,0,66,2,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944761
30805252110,CALLE SAN LUCAS S/NUM. ESQUINA NI�OS H�ROES COL. CENTRO C.P. 23450 CABO SAN LUCAS BAJA CALIFORNIA SUR,"",23450,"",1,BSIMS000195,UMF 7 CABO SAN SAN LUCAS,8,5,25,2110,1,3,32406,0,54,8,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944767
30901252110,MIGUEL ALEM�N S/N COL.CENTRO C.P. 23710 COMOND� BAJA CALIFORNIA SUR,"",23710,"",1,BSIMS000026,UMF 10 ADOLFO L�PEZ MATEOS,9,1,25,2110,1,3,32407,0,3,1,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944773
31001252110,PASEO PEDRO DE UGARTE S/N COL. CENTRO C.P. 23880 LORETO BAJA CALIFORNIA SUR,"",23880,"",1,BSIMS000166,UMF 11 LORETO,10,1,25,2110,1,3,32408,0,1,9,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944779
31101252110,FRANCISCO DE ULLOA NUM. 81 COL. SECTOR PRIMARIA C.P. 22990 ISLA DE CEDROS BAJA CALIFORNIA SUR,"",22990,"",1,BSIMS000200,UMF 12 ISLA DE CEDROS,11,1,25,2110,1,3,32409,0,1572,2,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944785
31301252110,AV. BENITO JU�REZ 49 C.P. 23950 BAH�A TORTUGAS BAJA CALIFORNIA SUR,"",23950,"",1,BSIMS000060,UMF 14 B. TORTUGAS,13,1,25,2110,1,3,32410,0,15,2,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944790
31401252110,AVE. LIC. BENITO JU�REZ S/N C.P. 23940 BAH�A ASUNCI�N BAJA CALIFORNIA SUR,"",23940,"",1,BSIMS000096,UMF 15 B. ASUNCI�N,14,1,25,2110,1,3,32411,0,14,2,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944796
31501252110,CALLE FUNDADORES S/N C.P. 23960 LA BOCANA BAJA CALIFORNIA SUR,"",23960,"",1,BSIMS000101,UMF 16 LA BOCANA,15,1,25,2110,1,3,32412,0,22,2,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944802
30705252110,"","","","",1,BSIMS000241,UMF 19 V�ZCAINO,7,5,25,2110,1,3,32414,0,1,8,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944808
30301252110,HIDALGO Y CORONADO S/N COL. CENTRO C.P. 23400 SAN JOS� DEL CABO BAJA CALIFORNIA SUR,"",23400,"",1,BSIMS000142,UMF 6 SAN JOSE DEL CABO,3,1,25,2110,1,3,32415,0,1,8,3,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944814
30811252110,Calle Palma Senegal y Palma Capitata No. S/N  Colonia Las Palmas C.P 23477  Los Cabos  Municipio de Cabo San Lucas  Estado de Baja California Sur,"",23477,Colonia Las Palmas,1,EN TR�?MITE,UMF 39 Cabo San Lucas,3,11,25,2110,1,3,32417,"",54,8,3,"","",0,133,A,CSI_Beta - CI,17:45.0,CSI_Beta - CI,17:45.0,2021-01-04 21:35:08.944819
40124252110,AV. LAVALLE URBINA X FUNDADORES COL. SAN FRANCISCO C.P. 24010 CAMPECHE CAMPECHE,"",24010,"",1,CCIMS000033,UMF 11 AH KIM PECH,1,24,25,2110,1,4,42402,0,1,2,4,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944825
40304252110,CARRETERA CHAMPOT�N - CAMPECHE KM.54 MANZANA 4 COL. C.P. 24451 CHAMPOT�N CAMPECHE,"",24451,"",1,CCIMS000062,UMF 3 LA JOYA,3,4,25,2110,1,4,42403,0,16,4,4,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944831
40502252110,CALLE 23 DOMICILIO CONOCIDO COL. CENTRO C.P. 24350 ESC�RCEGA CAMPECHE,"",24350,"",1,CCIMS000091,UMF 5 ESCARCEGA,5,2,25,2110,1,4,42405,0,1,9,4,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944837
41401252110,CALLE 18 NO. 86 A COL. CENTRO C.P. 24600 HOPELCHEN CAMPECHE,"",24600,"",1,CCIMS000074,UMF 8 HOPELCHEN,14,1,25,2110,1,4,42406,0,1,6,4,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944843
41801252110,KM. 1 CARRETERA PALIZADA - CAMPECHE COL. C.P. 24200 PALIZADA CAMPECHE,"",24200,"",1,CCIMS000086,UMF 9 PALIZADA,18,1,25,2110,1,4,42407,0,1,7,4,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944848
50103252110,BLVD. PLAN DE GUADALUPE Y PABLO L. SIDAR COL. CENTRO C.P. 25900 RAMOS ARIZPE COAHUILA,"",25900,"",1,CLIMS000280,UMF 3 RAMOS ARIZPE,1,3,25,2110,1,5,52401,0,1,27,5,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944854
50201252110,HIDALGO NO. 2 COL. CENTRO C.P. 25350 ARTEAGA COAHUILA,"",25350,"",1,CLIMS000053,UMF 4 ARTEAGA,2,1,25,2110,1,5,52403,0,1,4,5,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944860
50309252110,PABLO DE MEJ�A NO. 526 Y GRAL. MANUEL DOBLADO COL. ZONA CENTRO C.P. 25000 SALTILLO COAHUILA,"",25000,"",1,CLIMS000350,UMF 73 SALTILLO,3,9,25,2110,1,5,52405,0,1,30,5,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944866
50701252110,HIDALGO Y VENUSTIANO CARRANZA COL. ZONA CENTRO C.P. 25950 GENERAL CEPEDA COAHUILA,"",25950,"",1,CLIMS000106,UMF 62 GRAL. CEPEDA,7,1,25,2110,1,5,52408,0,1,11,5,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944891
50903252110,CALLE RODR�GUEZ SUR NO. 351 ESQUINA CON AV. JU�REZ 2O PISO COL. ZONA CENTRO C.P. 27000 TORRE�N COAHUILA,"",27000,"",1,CLIMS000461,UMF 80 TORRE�N,9,3,25,2110,1,5,52409,0,1,35,5,"","",0,133,A,CSI_Beta - CI,04:44.3,CSI_Beta - CI,04:44.3,2021-01-04 21:35:08.944897
